record id,to_date,from_date,Origin,Destination,total_buzz-O,total_buzz-D,death-O,fled,week_nbr
0,2/17/16,2/4/16,Anbar,Abu Al-Khaseeb,560.2307692,2.076923077,5.538461538,0,1
1,2/17/16,2/4/16,Anbar,Abu Al-Khaseeb,76.38461538,15.38461538,2.076923077,0,1
2,2/17/16,2/4/16,Anbar,Adhamia,70.46153846,15.38461538,0,0,1
3,2/17/16,2/4/16,Anbar,Afaq,107.2307692,15.38461538,0,0,1
4,2/17/16,2/4/16,Anbar,Afaq,352.9230769,2.076923077,12.46153846,0,1
5,2/17/16,2/4/16,Anbar,Ain Al-Tamur,1086.384615,2.076923077,0,0,1
6,2/17/16,2/4/16,Anbar,Ain Al-Tamur,74.92307692,15.38461538,0,0,1
7,2/17/16,2/4/16,Anbar,Akre,44.46153846,2.076923077,0,0,1
8,2/17/16,2/4/16,Anbar,Al Resafa,273.6923077,2.076923077,0.692307692,0,1
9,2/17/16,2/4/16,Anbar,Al Sadr,393.3076923,2.076923077,0.307692308,0,1
10,2/17/16,2/4/16,Anbar,Al-Chibayish,2012.307692,2.076923077,0,0,1
11,2/17/16,2/4/16,Anbar,Al-Daur,76.38461538,2.076923077,2.076923077,0,1
12,2/17/16,2/4/16,Anbar,Al-Hai,70.46153846,2.076923077,0,0,1
13,2/17/16,2/4/16,Anbar,Al-Hamdaniya,107.2307692,2.076923077,0,0,1
14,2/17/16,2/4/16,Anbar,Al-Hawiga,74.92307692,2.076923077,0,0,1
15,2/17/16,2/4/16,Anbar,Al-Hindiya,583,2.076923077,9.230769231,0,1
16,2/17/16,2/4/16,Anbar,Al-Ka'im,37.84615385,2.076923077,0,0,1
17,2/17/16,2/4/16,Anbar,Al-Kahla,335.8461538,2.076923077,2.384615385,0,1
18,2/17/16,2/4/16,Anbar,Al-Khalis,165.0769231,2.076923077,0.076923077,0,1
19,2/17/16,2/4/16,Anbar,Al-Khidhir,112.2307692,2.076923077,0,0,1
20,2/17/16,2/4/16,Anbar,Al-Mahawil,88.69230769,2.076923077,0,0,1
21,2/17/16,2/4/16,Anbar,Al-Maimouna,560.2307692,7.230769231,5.538461538,25,1
22,2/17/16,2/4/16,Anbar,Al-Manathera,150.3076923,7.230769231,0.153846154,0,1
23,2/17/16,2/4/16,Anbar,Al-Mejar Al-Kabir,352.9230769,7.230769231,12.46153846,1,1
24,2/17/16,2/4/16,Anbar,Al-Midaina,1086.384615,7.230769231,0,0,1
25,2/17/16,2/4/16,Anbar,Al-Muqdadiya,44.46153846,7.230769231,0,0,1
26,2/17/16,2/4/16,Anbar,Al-Musayab,273.6923077,7.230769231,0.692307692,0,1
27,2/17/16,2/4/16,Anbar,Al-Na'maniya,393.3076923,7.230769231,0.307692308,0,1
28,2/17/16,2/4/16,Anbar,Al-Qurna,2012.307692,7.230769231,0,0,1
29,2/17/16,2/4/16,Anbar,Al-Rifa'i,76.38461538,7.230769231,2.076923077,0,1
30,2/17/16,2/4/16,Anbar,Al-Rumaitha,70.46153846,7.230769231,0,0,1
31,2/17/16,2/4/16,Anbar,Al-Rutba,107.2307692,7.230769231,0,0,1
32,2/17/16,2/4/16,Anbar,Al-Samawa,74.92307692,7.230769231,0,0,1
33,2/17/16,2/4/16,Anbar,Al-Shamiya,583,7.230769231,9.230769231,0,1
34,2/17/16,2/4/16,Anbar,Al-Shatra,37.84615385,7.230769231,0,0,1
35,2/17/16,2/4/16,Anbar,Al-Shikhan,335.8461538,7.230769231,2.384615385,0,1
36,2/17/16,2/4/16,Anbar,Al-Shirqat,165.0769231,7.230769231,0.076923077,0,1
37,2/17/16,2/4/16,Anbar,Al-Suwaira,112.2307692,7.230769231,0,0,1
38,2/17/16,2/4/16,Anbar,Al-Zubair,88.69230769,7.230769231,0,0,1
39,2/17/16,2/4/16,Anbar,Ali Al-Gharbi,560.2307692,2.538461538,5.538461538,0,1
40,2/17/16,2/4/16,Anbar,Amara,150.3076923,2.538461538,0.153846154,0,1
41,2/17/16,2/4/16,Anbar,Amedi,352.9230769,2.538461538,12.46153846,0,1
42,2/17/16,2/4/16,Anbar,Ana,1086.384615,2.538461538,0,0,1
43,2/17/16,2/4/16,Anbar,Ba'quba,44.46153846,2.538461538,0,0,1
44,2/17/16,2/4/16,Anbar,Badra,273.6923077,2.538461538,0.692307692,0,1
45,2/17/16,2/4/16,Anbar,Baiji,393.3076923,2.538461538,0.307692308,0,1
46,2/17/16,2/4/16,Anbar,Balad,2012.307692,2.538461538,0,0,1
47,2/17/16,2/4/16,Anbar,Baladrooz,76.38461538,2.538461538,2.076923077,0,1
48,2/17/16,2/4/16,Anbar,Basrah,70.46153846,2.538461538,0,0,1
49,2/17/16,2/4/16,Anbar,Chamchamal,107.2307692,2.538461538,0,0,1
50,2/17/16,2/4/16,Anbar,Dahuk,74.92307692,2.538461538,0,0,1
51,2/17/16,2/4/16,Anbar,Darbandikhan,37.84615385,2.538461538,0,0,1
52,2/17/16,2/4/16,Anbar,Diwaniya,335.8461538,2.538461538,2.384615385,31,1
53,2/17/16,2/4/16,Anbar,Dokan,165.0769231,2.538461538,0.076923077,0,1
54,2/17/16,2/4/16,Anbar,Falluja,88.69230769,2.538461538,0,0,1
55,2/17/16,2/4/16,Anbar,Fao,560.2307692,2.461538462,5.538461538,0,1
56,2/17/16,2/4/16,Anbar,Haditha,150.3076923,2.461538462,0.153846154,0,1
57,2/17/16,2/4/16,Anbar,Halabja,352.9230769,2.461538462,12.46153846,0,1
58,2/17/16,2/4/16,Anbar,Hamza,1086.384615,2.461538462,0,0,1
59,2/17/16,2/4/16,Anbar,Hashimiya,44.46153846,2.461538462,0,0,1
60,2/17/16,2/4/16,Anbar,Hatra,273.6923077,2.461538462,0.692307692,0,1
61,2/17/16,2/4/16,Anbar,Heet,393.3076923,2.461538462,0.307692308,0,1
62,2/17/16,2/4/16,Anbar,Hilla,2012.307692,2.461538462,0,0,1
63,2/17/16,2/4/16,Anbar,Kadhimia,74.92307692,2.461538462,0,0,1
64,2/17/16,2/4/16,Anbar,Kalar,76.38461538,2.461538462,2.076923077,1,1
65,2/17/16,2/4/16,Anbar,Karkh,70.46153846,2.461538462,0,0,1
66,2/17/16,2/4/16,Anbar,Kerbala,107.2307692,2.461538462,0,0,1
67,2/17/16,2/4/16,Anbar,Khanaqin,583,2.461538462,9.230769231,3,1
68,2/17/16,2/4/16,Anbar,Kifri,37.84615385,2.461538462,0,0,1
